transaction_id,transaction_date,department,vendor_name,vendor_id,amount,payment_mode,purpose,location,budget_head
TXN200000,2024-09-13,Education,Metro Infra,V007,58988,CHEQUE,Medicine Procurement,Pune,3601
TXN200001,2024-04-30,Urban Development,EduTech Solutions,V004,1609420,RTGS,Medicine Procurement,Mumbai,2210
TXN200002,2025-01-08,Transport,ABC Pharma,V001,72453,NEFT,Electricity Infrastructure,Chennai,2210
TXN200003,2025-01-21,Urban Development,Metro Infra,V007,1163642,NEFT,Water Pipeline Upgrade,Mumbai,3054
TXN200004,2024-11-01,Education,XYZ Medical,V002,186868,CHEQUE,Infrastructure Maintenance,Delhi,3601
TXN200005,2025-01-18,Rural Development,EduTech Solutions,V004,183587,CHEQUE,Medicine Procurement,Chennai,2210
TXN200006,2024-07-15,Transport,Metro Infra,V007,162054,CHEQUE,Road Repair Work,Pune,3054
TXN200007,2024-08-06,Education,EduTech Solutions,V004,1329668,CHEQUE,Road Repair Work,Pune,3451
TXN200008,2024-08-26,Urban Development,XYZ Medical,V002,1576867,NEFT,Emergency Purchase,Pune,2202
TXN200009,2024-12-07,Transport,ABC Pharma,V001,60347,CHEQUE,Water Pipeline Upgrade,Pune,3054
TXN200010,2024-09-27,Urban Development,RuralTech Services,V008,159591,NEFT,Emergency Purchase,Delhi,3054
TXN200011,2024-11-29,Rural Development,XYZ Medical,V002,1349293,CHEQUE,Water Pipeline Upgrade,Bengaluru,3054
TXN200012,2024-10-15,Rural Development,AquaWorks,V006,1668245,RTGS,Infrastructure Maintenance,Chennai,2210
TXN200013,2024-12-09,Health,EduTech Solutions,V004,73905,CHEQUE,Infrastructure Maintenance,Bengaluru,3451
TXN200014,2024-12-11,Health,BuildRight Constructions,V003,184032,RTGS,Infrastructure Maintenance,Bengaluru,3601
TXN200015,2024-08-21,Rural Development,Metro Infra,V007,218971,RTGS,Infrastructure Maintenance,Mumbai,2210
TXN200016,2024-06-30,Education,EduTech Solutions,V004,43162,RTGS,Emergency Purchase,Chennai,2202
TXN200017,2024-08-13,Public Works,ABC Pharma,V001,180139,RTGS,Water Pipeline Upgrade,Chennai,3054
TXN200018,2024-06-04,Rural Development,ABC Pharma,V001,268322,CHEQUE,Emergency Purchase,Chennai,3451
TXN200019,2024-10-21,Transport,Metro Infra,V007,1539789,NEFT,Infrastructure Maintenance,Delhi,2202
TXN200020,2024-11-12,Education,XYZ Medical,V002,53782,NEFT,Medicine Procurement,Chennai,2202
TXN200021,2024-12-31,Health,AquaWorks,V006,58432,NEFT,Water Pipeline Upgrade,Bengaluru,2202
TXN200022,2024-08-08,Public Works,AquaWorks,V006,70239,RTGS,Road Repair Work,Bengaluru,3451
TXN200023,2024-09-07,Health,BuildRight Constructions,V003,1418559,CHEQUE,Digital Education Program,Bengaluru,2202
TXN200024,2024-12-21,Health,EduTech Solutions,V004,178479,RTGS,Infrastructure Maintenance,Chennai,2210
TXN200025,2024-12-27,Public Works,XYZ Medical,V002,108449,CHEQUE,Digital Education Program,Mumbai,3054
TXN200026,2024-07-24,Urban Development,AquaWorks,V006,200754,NEFT,Emergency Purchase,Mumbai,3451
TXN200027,2024-07-26,Education,RuralTech Services,V008,47596,NEFT,Emergency Purchase,Pune,3451
TXN200028,2024-08-11,Education,AquaWorks,V006,229563,RTGS,Digital Education Program,Delhi,2202
TXN200029,2024-05-23,Education,RuralTech Services,V008,93575,RTGS,Water Pipeline Upgrade,Chennai,2210
TXN200030,2024-12-02,Rural Development,AquaWorks,V006,62224,CHEQUE,Medicine Procurement,Bengaluru,2202
TXN200031,2024-12-01,Education,Metro Infra,V007,127167,NEFT,Emergency Purchase,Bengaluru,3451
TXN200032,2024-10-23,Rural Development,XYZ Medical,V002,84565,NEFT,Medicine Procurement,Mumbai,3601
TXN200033,2024-11-25,Rural Development,BuildRight Constructions,V003,196203,RTGS,Electricity Infrastructure,Pune,2202
TXN200034,2025-01-06,Urban Development,BuildRight Constructions,V003,915528,CHEQUE,Electricity Infrastructure,Mumbai,3451
TXN200035,2024-07-09,Education,ABC Pharma,V001,116799,CHEQUE,Infrastructure Maintenance,Chennai,3054
TXN200036,2024-08-11,Urban Development,Metro Infra,V007,55965,CHEQUE,Digital Education Program,Bengaluru,3601
TXN200037,2024-12-21,Transport,BuildRight Constructions,V003,177234,CHEQUE,Medicine Procurement,Bengaluru,2202
TXN200038,2024-04-03,Education,BuildRight Constructions,V003,202293,CHEQUE,Medicine Procurement,Chennai,2210
TXN200039,2024-09-14,Rural Development,RuralTech Services,V008,67815,CHEQUE,Medicine Procurement,Mumbai,2202
TXN200040,2024-08-20,Health,XYZ Medical,V002,187253,NEFT,Emergency Purchase,Delhi,3451
TXN200041,2024-09-14,Urban Development,EduTech Solutions,V004,158579,CHEQUE,Water Pipeline Upgrade,Bengaluru,3601
TXN200042,2024-08-05,Rural Development,GreenPower Ltd,V005,274030,NEFT,Emergency Purchase,Bengaluru,2202
TXN200043,2024-10-31,Health,Metro Infra,V007,59017,CHEQUE,Infrastructure Maintenance,Bengaluru,2210
TXN200044,2024-07-18,Rural Development,GreenPower Ltd,V005,275150,NEFT,Electricity Infrastructure,Pune,2202
TXN200045,2024-08-08,Education,RuralTech Services,V008,64674,RTGS,Road Repair Work,Mumbai,2202
TXN200046,2024-06-22,Rural Development,Metro Infra,V007,145856,RTGS,Road Repair Work,Mumbai,3054
TXN200047,2024-09-11,Health,AquaWorks,V006,1661902,RTGS,Electricity Infrastructure,Delhi,3451
TXN200048,2024-09-17,Urban Development,GreenPower Ltd,V005,56853,NEFT,Emergency Purchase,Mumbai,2210
TXN200049,2024-05-14,Public Works,GreenPower Ltd,V005,1080740,RTGS,Emergency Purchase,Mumbai,3451
TXN200050,2024-08-11,Transport,BuildRight Constructions,V003,174947,CHEQUE,Road Repair Work,Pune,2210
TXN200051,2024-08-21,Health,BuildRight Constructions,V003,58982,RTGS,Medicine Procurement,Delhi,3054
TXN200052,2024-05-13,Urban Development,EduTech Solutions,V004,955176,RTGS,Medicine Procurement,Pune,3601
TXN200053,2024-10-31,Public Works,BuildRight Constructions,V003,1200036,NEFT,Infrastructure Maintenance,Pune,2210
TXN200054,2024-07-02,Education,GreenPower Ltd,V005,179220,NEFT,Digital Education Program,Bengaluru,3601
TXN200055,2024-07-01,Public Works,AquaWorks,V006,105653,NEFT,Medicine Procurement,Delhi,3601
TXN200056,2025-01-08,Education,RuralTech Services,V008,157192,NEFT,Electricity Infrastructure,Bengaluru,3451
TXN200057,2025-01-05,Transport,GreenPower Ltd,V005,100179,RTGS,Infrastructure Maintenance,Mumbai,3451
TXN200058,2024-09-25,Health,BuildRight Constructions,V003,1236019,RTGS,Infrastructure Maintenance,Delhi,2210
TXN200059,2024-10-13,Urban Development,GreenPower Ltd,V005,221583,RTGS,Medicine Procurement,Bengaluru,2202
TXN200060,2024-06-20,Public Works,RuralTech Services,V008,1463659,RTGS,Water Pipeline Upgrade,Pune,2202
TXN200061,2024-04-18,Public Works,EduTech Solutions,V004,40280,RTGS,Road Repair Work,Delhi,3451
TXN200062,2024-08-21,Urban Development,EduTech Solutions,V004,243486,NEFT,Medicine Procurement,Pune,2210
TXN200063,2024-06-13,Transport,ABC Pharma,V001,118550,RTGS,Electricity Infrastructure,Mumbai,2210
TXN200064,2025-01-25,Urban Development,BuildRight Constructions,V003,227693,CHEQUE,Road Repair Work,Pune,3451
TXN200065,2024-06-16,Public Works,BuildRight Constructions,V003,1775799,CHEQUE,Road Repair Work,Chennai,2202
TXN200066,2024-12-25,Urban Development,ABC Pharma,V001,193108,CHEQUE,Electricity Infrastructure,Mumbai,2210
TXN200067,2024-04-16,Health,BuildRight Constructions,V003,67503,RTGS,Emergency Purchase,Bengaluru,3601
TXN200068,2024-04-26,Rural Development,ABC Pharma,V001,218432,NEFT,Road Repair Work,Pune,2210
TXN200069,2024-11-20,Health,XYZ Medical,V002,57314,CHEQUE,Electricity Infrastructure,Bengaluru,3054
TXN200070,2024-05-09,Public Works,EduTech Solutions,V004,93796,NEFT,Electricity Infrastructure,Bengaluru,3451
TXN200071,2024-10-13,Health,RuralTech Services,V008,115318,NEFT,Water Pipeline Upgrade,Mumbai,2210
TXN200072,2024-06-15,Public Works,GreenPower Ltd,V005,221636,RTGS,Water Pipeline Upgrade,Chennai,2202
TXN200073,2024-04-07,Transport,ABC Pharma,V001,216161,NEFT,Electricity Infrastructure,Mumbai,3451
TXN200074,2024-08-27,Rural Development,GreenPower Ltd,V005,162248,NEFT,Water Pipeline Upgrade,Mumbai,3054
TXN200075,2024-05-14,Transport,ABC Pharma,V001,60044,CHEQUE,Road Repair Work,Pune,3451
TXN200076,2024-07-17,Education,XYZ Medical,V002,77156,CHEQUE,Water Pipeline Upgrade,Pune,3054
TXN200077,2024-06-07,Urban Development,GreenPower Ltd,V005,224375,RTGS,Infrastructure Maintenance,Bengaluru,3451
TXN200078,2024-10-19,Health,BuildRight Constructions,V003,1731161,CHEQUE,Road Repair Work,Bengaluru,3054
TXN200079,2024-06-12,Transport,AquaWorks,V006,71695,RTGS,Medicine Procurement,Pune,3054
TXN200080,2024-10-21,Health,EduTech Solutions,V004,276340,CHEQUE,Digital Education Program,Pune,3054
TXN200081,2024-05-04,Transport,Metro Infra,V007,194449,NEFT,Digital Education Program,Bengaluru,3054
TXN200082,2024-04-25,Public Works,XYZ Medical,V002,1298995,CHEQUE,Infrastructure Maintenance,Mumbai,3054
TXN200083,2024-11-10,Urban Development,AquaWorks,V006,137871,RTGS,Medicine Procurement,Bengaluru,3601
TXN200084,2025-01-07,Education,XYZ Medical,V002,1561690,RTGS,Water Pipeline Upgrade,Mumbai,3054
TXN200085,2024-12-05,Health,BuildRight Constructions,V003,148754,RTGS,Digital Education Program,Pune,3054
TXN200086,2024-08-12,Transport,EduTech Solutions,V004,186098,CHEQUE,Road Repair Work,Delhi,2202
TXN200087,2024-06-22,Health,EduTech Solutions,V004,252815,RTGS,Water Pipeline Upgrade,Mumbai,3451
TXN200088,2024-09-18,Transport,Metro Infra,V007,90438,NEFT,Medicine Procurement,Mumbai,3054
TXN200089,2025-01-10,Health,AquaWorks,V006,107726,CHEQUE,Infrastructure Maintenance,Delhi,3451
TXN200090,2024-10-14,Transport,EduTech Solutions,V004,128657,NEFT,Road Repair Work,Pune,3601
TXN200091,2024-10-02,Education,EduTech Solutions,V004,1221045,RTGS,Road Repair Work,Bengaluru,3451
TXN200092,2024-09-07,Health,BuildRight Constructions,V003,1692515,CHEQUE,Road Repair Work,Delhi,2210
TXN200093,2024-10-18,Urban Development,RuralTech Services,V008,105133,NEFT,Infrastructure Maintenance,Mumbai,2202
TXN200094,2024-12-24,Rural Development,XYZ Medical,V002,229198,CHEQUE,Electricity Infrastructure,Bengaluru,2210
TXN200095,2025-01-08,Health,ABC Pharma,V001,100968,CHEQUE,Medicine Procurement,Pune,2202
TXN200096,2024-08-07,Urban Development,Metro Infra,V007,69394,NEFT,Medicine Procurement,Pune,3601
TXN200097,2025-01-24,Education,Metro Infra,V007,247221,CHEQUE,Medicine Procurement,Delhi,3601
TXN200098,2024-09-02,Transport,GreenPower Ltd,V005,208971,NEFT,Road Repair Work,Chennai,2202
TXN200099,2025-01-06,Education,ABC Pharma,V001,224720,CHEQUE,Digital Education Program,Delhi,2210
TXN200100,2024-07-09,Transport,Metro Infra,V007,1177816,CHEQUE,Road Repair Work,Pune,2202
TXN200101,2024-12-09,Health,AquaWorks,V006,134979,CHEQUE,Road Repair Work,Mumbai,2210
TXN200102,2024-08-28,Rural Development,XYZ Medical,V002,92537,RTGS,Emergency Purchase,Mumbai,2202
TXN200103,2024-11-25,Education,GreenPower Ltd,V005,117314,NEFT,Water Pipeline Upgrade,Bengaluru,3601
TXN200104,2024-07-05,Education,RuralTech Services,V008,214402,NEFT,Water Pipeline Upgrade,Mumbai,3451
TXN200105,2024-04-28,Education,ABC Pharma,V001,77201,RTGS,Medicine Procurement,Delhi,2202
TXN200106,2024-10-19,Transport,AquaWorks,V006,60804,NEFT,Digital Education Program,Mumbai,2202
TXN200107,2024-12-25,Rural Development,RuralTech Services,V008,1494022,RTGS,Digital Education Program,Bengaluru,2202
TXN200108,2024-05-26,Health,XYZ Medical,V002,132134,RTGS,Medicine Procurement,Chennai,2202
TXN200109,2024-10-12,Public Works,GreenPower Ltd,V005,153363,NEFT,Medicine Procurement,Bengaluru,2202
TXN200110,2024-10-08,Urban Development,RuralTech Services,V008,135485,CHEQUE,Road Repair Work,Delhi,3451
TXN200111,2024-08-05,Rural Development,Metro Infra,V007,773094,RTGS,Medicine Procurement,Delhi,3054
TXN200112,2024-07-09,Rural Development,XYZ Medical,V002,128885,RTGS,Digital Education Program,Pune,3601
TXN200113,2024-04-23,Public Works,AquaWorks,V006,117963,NEFT,Electricity Infrastructure,Chennai,2210
TXN200114,2024-04-13,Education,XYZ Medical,V002,162091,RTGS,Emergency Purchase,Pune,3451
TXN200115,2024-12-09,Education,RuralTech Services,V008,250388,CHEQUE,Digital Education Program,Mumbai,3601
TXN200116,2024-07-30,Public Works,AquaWorks,V006,245477,CHEQUE,Medicine Procurement,Chennai,2202
TXN200117,2024-10-18,Education,EduTech Solutions,V004,210274,NEFT,Road Repair Work,Chennai,3601
TXN200118,2024-09-14,Education,Metro Infra,V007,58917,RTGS,Water Pipeline Upgrade,Delhi,2202
TXN200119,2024-05-20,Transport,RuralTech Services,V008,157168,NEFT,Infrastructure Maintenance,Mumbai,3451
TXN200120,2024-11-22,Urban Development,EduTech Solutions,V004,262032,CHEQUE,Emergency Purchase,Delhi,3054
TXN200121,2024-08-29,Public Works,GreenPower Ltd,V005,233479,RTGS,Infrastructure Maintenance,Bengaluru,2202
TXN200122,2024-07-05,Education,EduTech Solutions,V004,271779,CHEQUE,Infrastructure Maintenance,Pune,2210
TXN200123,2024-10-20,Public Works,EduTech Solutions,V004,100655,CHEQUE,Emergency Purchase,Delhi,3451
TXN200124,2024-04-19,Health,ABC Pharma,V001,254722,NEFT,Emergency Purchase,Bengaluru,3054
TXN200125,2024-04-21,Public Works,EduTech Solutions,V004,1097563,CHEQUE,Emergency Purchase,Chennai,2202
TXN200126,2024-05-09,Public Works,BuildRight Constructions,V003,108143,CHEQUE,Medicine Procurement,Delhi,3601
TXN200127,2024-09-27,Education,ABC Pharma,V001,77059,NEFT,Infrastructure Maintenance,Pune,2210
TXN200128,2024-07-14,Health,AquaWorks,V006,137467,NEFT,Water Pipeline Upgrade,Pune,2210
TXN200129,2024-07-14,Health,RuralTech Services,V008,56586,RTGS,Medicine Procurement,Bengaluru,3601
TXN200130,2024-06-19,Rural Development,XYZ Medical,V002,144273,CHEQUE,Digital Education Program,Bengaluru,3054
TXN200131,2024-09-05,Transport,ABC Pharma,V001,188509,RTGS,Road Repair Work,Bengaluru,2210
TXN200132,2024-10-04,Rural Development,EduTech Solutions,V004,146161,NEFT,Medicine Procurement,Bengaluru,2202
TXN200133,2024-11-03,Health,XYZ Medical,V002,271430,RTGS,Road Repair Work,Mumbai,2202
TXN200134,2024-04-08,Health,BuildRight Constructions,V003,278497,RTGS,Medicine Procurement,Chennai,3601
TXN200135,2024-10-07,Rural Development,BuildRight Constructions,V003,114264,NEFT,Water Pipeline Upgrade,Mumbai,2210
TXN200136,2024-05-26,Transport,RuralTech Services,V008,247656,NEFT,Digital Education Program,Mumbai,2210
TXN200137,2024-12-04,Public Works,ABC Pharma,V001,206819,RTGS,Medicine Procurement,Chennai,2202
TXN200138,2024-07-23,Urban Development,Metro Infra,V007,91409,RTGS,Infrastructure Maintenance,Chennai,2202
TXN200139,2024-04-22,Transport,BuildRight Constructions,V003,72258,NEFT,Infrastructure Maintenance,Mumbai,2210
TXN200140,2025-01-13,Rural Development,ABC Pharma,V001,124987,NEFT,Road Repair Work,Chennai,3451
TXN200141,2025-01-07,Rural Development,GreenPower Ltd,V005,120795,CHEQUE,Infrastructure Maintenance,Bengaluru,3451
TXN200142,2024-10-06,Transport,RuralTech Services,V008,40919,CHEQUE,Road Repair Work,Bengaluru,2202
TXN200143,2024-11-15,Urban Development,RuralTech Services,V008,252475,RTGS,Road Repair Work,Delhi,2210
TXN200144,2024-06-05,Public Works,Metro Infra,V007,250313,RTGS,Water Pipeline Upgrade,Chennai,2210
TXN200145,2024-04-21,Rural Development,BuildRight Constructions,V003,1357930,CHEQUE,Water Pipeline Upgrade,Delhi,2210
TXN200146,2024-12-15,Transport,BuildRight Constructions,V003,839210,CHEQUE,Electricity Infrastructure,Delhi,2202
TXN200147,2024-06-07,Transport,GreenPower Ltd,V005,248398,NEFT,Electricity Infrastructure,Mumbai,2210
TXN200148,2024-09-27,Urban Development,GreenPower Ltd,V005,275021,CHEQUE,Digital Education Program,Bengaluru,2202
TXN200149,2024-08-09,Urban Development,RuralTech Services,V008,108909,CHEQUE,Water Pipeline Upgrade,Mumbai,3054
TXN200150,2024-10-08,Health,EduTech Solutions,V004,82265,CHEQUE,Digital Education Program,Pune,3451
TXN200151,2024-06-26,Public Works,XYZ Medical,V002,52732,CHEQUE,Emergency Purchase,Pune,3451
TXN200152,2025-01-10,Urban Development,XYZ Medical,V002,180430,CHEQUE,Emergency Purchase,Bengaluru,3054
TXN200153,2024-08-14,Transport,AquaWorks,V006,134437,RTGS,Emergency Purchase,Delhi,3451
TXN200154,2024-07-27,Education,ABC Pharma,V001,175294,RTGS,Digital Education Program,Chennai,3054
TXN200155,2024-04-01,Rural Development,ABC Pharma,V001,116276,CHEQUE,Electricity Infrastructure,Bengaluru,3451
TXN200156,2024-12-19,Public Works,ABC Pharma,V001,99574,CHEQUE,Electricity Infrastructure,Delhi,2210
TXN200157,2024-04-28,Health,AquaWorks,V006,177124,RTGS,Water Pipeline Upgrade,Mumbai,3451
TXN200158,2025-01-24,Public Works,BuildRight Constructions,V003,203559,RTGS,Infrastructure Maintenance,Mumbai,2210
TXN200159,2024-08-03,Rural Development,BuildRight Constructions,V003,56690,CHEQUE,Infrastructure Maintenance,Pune,3451
TXN200160,2024-08-14,Health,ABC Pharma,V001,187411,RTGS,Water Pipeline Upgrade,Chennai,3451
TXN200161,2024-12-22,Rural Development,RuralTech Services,V008,276848,NEFT,Medicine Procurement,Delhi,3601
TXN200162,2024-04-13,Transport,BuildRight Constructions,V003,55303,NEFT,Medicine Procurement,Chennai,3601
TXN200163,2024-07-10,Education,Metro Infra,V007,199405,CHEQUE,Water Pipeline Upgrade,Bengaluru,3601
TXN200164,2024-06-29,Urban Development,GreenPower Ltd,V005,801692,CHEQUE,Emergency Purchase,Bengaluru,3601
TXN200165,2024-04-04,Transport,Metro Infra,V007,161966,NEFT,Electricity Infrastructure,Bengaluru,2202
TXN200166,2024-07-25,Health,GreenPower Ltd,V005,50175,NEFT,Digital Education Program,Pune,2210
TXN200167,2024-08-15,Rural Development,Metro Infra,V007,177165,RTGS,Digital Education Program,Mumbai,2210
TXN200168,2024-12-16,Health,BuildRight Constructions,V003,101894,CHEQUE,Infrastructure Maintenance,Mumbai,3054
TXN200169,2024-07-08,Transport,AquaWorks,V006,139470,CHEQUE,Electricity Infrastructure,Chennai,3451
TXN200170,2024-11-28,Urban Development,ABC Pharma,V001,154613,CHEQUE,Infrastructure Maintenance,Chennai,3054
TXN200171,2024-07-18,Transport,XYZ Medical,V002,84969,NEFT,Medicine Procurement,Delhi,2210
TXN200172,2024-05-25,Urban Development,BuildRight Constructions,V003,77182,CHEQUE,Medicine Procurement,Delhi,2210
TXN200173,2024-06-10,Rural Development,ABC Pharma,V001,233143,NEFT,Medicine Procurement,Chennai,3054
TXN200174,2024-07-12,Urban Development,XYZ Medical,V002,238121,CHEQUE,Road Repair Work,Delhi,2202
TXN200175,2024-07-15,Education,XYZ Medical,V002,883437,CHEQUE,Electricity Infrastructure,Pune,3451
TXN200176,2024-05-22,Education,XYZ Medical,V002,209428,NEFT,Digital Education Program,Pune,3054
TXN200177,2024-11-03,Public Works,ABC Pharma,V001,114080,NEFT,Electricity Infrastructure,Pune,3054
TXN200178,2024-12-14,Transport,GreenPower Ltd,V005,48121,RTGS,Medicine Procurement,Bengaluru,3601
TXN200179,2024-05-21,Public Works,RuralTech Services,V008,181002,CHEQUE,Infrastructure Maintenance,Delhi,3601
TXN200180,2024-08-26,Education,Metro Infra,V007,1123698,RTGS,Emergency Purchase,Delhi,2210
TXN200181,2024-09-26,Transport,XYZ Medical,V002,248868,NEFT,Road Repair Work,Chennai,3054
TXN200182,2024-12-20,Public Works,BuildRight Constructions,V003,96286,CHEQUE,Infrastructure Maintenance,Bengaluru,2202
TXN200183,2024-05-27,Rural Development,XYZ Medical,V002,222755,CHEQUE,Emergency Purchase,Delhi,3054
TXN200184,2024-09-30,Health,Metro Infra,V007,273790,CHEQUE,Medicine Procurement,Bengaluru,2210
TXN200185,2024-10-08,Education,GreenPower Ltd,V005,276248,CHEQUE,Water Pipeline Upgrade,Mumbai,3451
TXN200186,2024-07-29,Transport,BuildRight Constructions,V003,237781,CHEQUE,Emergency Purchase,Chennai,2210
TXN200187,2024-09-26,Urban Development,AquaWorks,V006,267540,RTGS,Electricity Infrastructure,Chennai,3054
TXN200188,2024-06-26,Transport,RuralTech Services,V008,107426,CHEQUE,Infrastructure Maintenance,Mumbai,3054
TXN200189,2024-11-23,Rural Development,EduTech Solutions,V004,110119,RTGS,Emergency Purchase,Chennai,2202
TXN200190,2024-06-19,Education,AquaWorks,V006,131391,NEFT,Infrastructure Maintenance,Pune,2202
TXN200191,2024-08-11,Rural Development,XYZ Medical,V002,212464,NEFT,Infrastructure Maintenance,Bengaluru,2202
TXN200192,2024-06-15,Public Works,GreenPower Ltd,V005,91430,NEFT,Electricity Infrastructure,Delhi,3054
TXN200193,2024-07-15,Transport,RuralTech Services,V008,1536807,RTGS,Electricity Infrastructure,Mumbai,3601
TXN200194,2024-08-30,Transport,ABC Pharma,V001,198258,CHEQUE,Road Repair Work,Delhi,2202
TXN200195,2024-11-07,Rural Development,Metro Infra,V007,215084,CHEQUE,Electricity Infrastructure,Chennai,2202
TXN200196,2024-07-02,Rural Development,XYZ Medical,V002,122054,RTGS,Electricity Infrastructure,Delhi,3451
TXN200197,2024-08-03,Transport,BuildRight Constructions,V003,151038,RTGS,Road Repair Work,Delhi,3601
